"Timestamp","Which of the following best describes your role or perspective on inflation in India?  ","Industry","Years of Experience","How would you rate the overall inflation in India over the past 2 years?  ","Which product category do you think has contributed most to inflation recently?  ","What do you believe is the primary cause of recent inflation in India?  ","How has inflation impacted your personal financial situation?   "," Are you aware of any government actions to combat inflation? (Yes/No) If yes, which one do you think has been most effective?   ","How would you rate the Reserve Bank of India's efforts to control inflation?  ","In your opinion, which section of society has been most affected by recent inflation?  ","Do you think the government's response to inflation has been adequate?   ","What additional measure do you think would be most effective in controlling inflation?  ","How optimistic are you about inflation control in India over the next year?   "
"2024/09/29 3:47:11 PM GMT+5:30","General public / Consumer","Aerospace","7","Moderate","Housing","Increased consumer demand","Slight negative impact","No","Somewhat effective","Middle income groups","Somewhat adequate","","Neutral"
"2024/09/29 4:03:48 PM GMT+5:30","Industry professional","IT","18","High","Housing","Domestic economic policies","Severe negative impact","","Somewhat effective","Urban population","Not at all adequate","","Somewhat pessimistic"
"2024/09/29 5:11:46 PM GMT+5:30","General public / Consumer","IT","8","High","Housing","Global supply chain disruptions","Moderate negative impact","","Somewhat ineffective","Higher income groups","Somewhat inadequate","","Somewhat pessimistic"
"2024/09/29 5:16:59 PM GMT+5:30","General public / Consumer","Software ","5","High","Fuel","Domestic economic policies","Moderate negative impact","No","Very ineffective","Lower income groups","Not at all adequate","","Somewhat pessimistic"
"2024/09/29 5:19:02 PM GMT+5:30","General public / Consumer","Construction ","17","Moderate","Fuel","Global supply chain disruptions","Slight negative impact","Na","Somewhat effective","Middle income groups","Somewhat adequate","Na","Somewhat optimistic"
"2024/09/29 5:36:16 PM GMT+5:30","Industry professional","IT","10","High","Housing","Increased consumer demand","Moderate negative impact","No","Somewhat ineffective","Lower income groups","Not at all adequate","Price Capping","Somewhat pessimistic"
"2024/09/29 5:46:36 PM GMT+5:30","Industry professional","Rolling stock","6","High","Fuel","International conflicts","Moderate negative impact","No","Somewhat effective","Middle income groups","Adequate","Incresing FDI","Very pessimistic"
"2024/09/29 5:47:50 PM GMT+5:30","Government official","Ecommerce ","10","High","Fuel","Global supply chain disruptions","Positive impact","https://www.investopedia.com/ask/answers/111314/what-methods-can-government-use-control-inflation.asp","Very effective","Middle income groups","Somewhat adequate","","Very optimistic"
"2024/09/29 8:15:40 PM GMT+5:30","Industry professional","IT ","20","High","Fuel","International conflicts","No impact","No","Somewhat effective","Higher income groups","Neutral","","Very optimistic"
"2024/09/29 9:08:54 PM GMT+5:30","Industry professional","Consulting","15","High","Education","Domestic economic policies","Moderate negative impact","No","Somewhat ineffective","Middle income groups","Not at all adequate","","Somewhat pessimistic"
"2024/09/29 9:15:12 PM GMT+5:30","General public / Consumer","Timber","12","High","Fuel","Currency depreciation","Moderate negative impact","","Neutral","Lower income groups","Somewhat inadequate","","Somewhat pessimistic"
"2024/09/29 10:00:58 PM GMT+5:30","General public / Consumer","Aviation","26","Moderate","Housing","Global supply chain disruptions","Moderate negative impact","High interest rate ","Somewhat effective","Lower income groups","Neutral","Less taxation more money  in hand .","Somewhat optimistic"
"2024/09/29 10:01:32 PM GMT+5:30","Government official","CGD","11","Very High","Food","Domestic economic policies","Moderate negative impact","Governance ","Somewhat ineffective","Lower income groups","Not at all adequate","Governance ","Somewhat optimistic"
"2024/09/29 10:18:56 PM GMT+5:30","General public / Consumer","IT","8","High","Housing","Currency depreciation","Severe negative impact","","Somewhat effective","Middle income groups","Somewhat inadequate","","Neutral"
